"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"1",1,1,1,1,1,1,1,1,1
"2",2,1,1,1,1,1,1,1,2
"3",3,1,1,1,1,1,1,1,3
"4",4,1,1,1,1,1,1,1,4
"5",1,2,1,1,1,1,1,1,2
"6",2,2,1,1,1,1,1,1,2
"7",3,2,1,1,1,1,1,1,3
"8",4,2,1,1,1,1,1,1,4
"9",1,3,1,1,1,1,1,1,3
"10",2,3,1,1,1,1,1,1,3
"11",3,3,1,1,1,1,1,1,3
"12",4,3,1,1,1,1,1,1,4
"13",1,4,1,1,1,1,1,1,4
"14",2,4,1,1,1,1,1,1,4
"15",3,4,1,1,1,1,1,1,4
"16",4,4,1,1,1,1,1,1,4
"17",1,1,2,1,1,1,1,1,2
"18",2,1,2,1,1,1,1,1,2
"19",3,1,2,1,1,1,1,1,3
"20",4,1,2,1,1,1,1,1,4
"21",1,2,2,1,1,1,1,1,2
"22",2,2,2,1,1,1,1,1,2
"23",3,2,2,1,1,1,1,1,3
"24",4,2,2,1,1,1,1,1,4
"25",1,3,2,1,1,1,1,1,3
"26",2,3,2,1,1,1,1,1,3
"27",3,3,2,1,1,1,1,1,3
"28",4,3,2,1,1,1,1,1,4
"29",1,4,2,1,1,1,1,1,4
"30",2,4,2,1,1,1,1,1,4
"31",3,4,2,1,1,1,1,1,4
"32",4,4,2,1,1,1,1,1,4
"33",1,1,3,1,1,1,1,1,3
"34",2,1,3,1,1,1,1,1,3
"35",3,1,3,1,1,1,1,1,3
"36",4,1,3,1,1,1,1,1,4
"37",1,2,3,1,1,1,1,1,3
"38",2,2,3,1,1,1,1,1,3
"39",3,2,3,1,1,1,1,1,3
"40",4,2,3,1,1,1,1,1,4
"41",1,3,3,1,1,1,1,1,3
"42",2,3,3,1,1,1,1,1,3
"43",3,3,3,1,1,1,1,1,3
"44",4,3,3,1,1,1,1,1,4
"45",1,4,3,1,1,1,1,1,4
"46",2,4,3,1,1,1,1,1,4
"47",3,4,3,1,1,1,1,1,4
"48",4,4,3,1,1,1,1,1,4
"49",1,1,4,1,1,1,1,1,4
"50",2,1,4,1,1,1,1,1,4
"51",3,1,4,1,1,1,1,1,4
"52",4,1,4,1,1,1,1,1,4
"53",1,2,4,1,1,1,1,1,4
"54",2,2,4,1,1,1,1,1,4
"55",3,2,4,1,1,1,1,1,4
"56",4,2,4,1,1,1,1,1,4
"57",1,3,4,1,1,1,1,1,4
"58",2,3,4,1,1,1,1,1,4
"59",3,3,4,1,1,1,1,1,4
"60",4,3,4,1,1,1,1,1,4
"61",1,4,4,1,1,1,1,1,4
"62",2,4,4,1,1,1,1,1,4
"63",3,4,4,1,1,1,1,1,4
"64",4,4,4,1,1,1,1,1,4
"65",1,1,1,2,1,1,1,1,2
"66",2,1,1,2,1,1,1,1,2
"67",3,1,1,2,1,1,1,1,3
"68",4,1,1,2,1,1,1,1,4
"69",1,2,1,2,1,1,1,1,2
"70",2,2,1,2,1,1,1,1,2
"71",3,2,1,2,1,1,1,1,3
"72",4,2,1,2,1,1,1,1,4
"73",1,3,1,2,1,1,1,1,3
"74",2,3,1,2,1,1,1,1,3
